The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_arxiv
The number of GCN layers: 2
The number of hidden units: 256
The number of training epoches: -1
Learning rate: 0.030000
Initialized node g003.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 0.068 seconds.
Building the CSC structure...
        It takes 0.037 seconds.
Building the Feature Vector...
        It takes 0.106 seconds.
Building the Label Vector...
        It takes 0.047 seconds.
Number of classes: 40
Number of feature dimensions: 128
train nodes 90941, valid nodes 29799, test nodes 48603
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 40
    Number of vertices: 169343
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.74422	TrainAcc 0.0042	ValidAcc 0.0025	TestAcc 0.0027
    Epoch 1:	Loss 3.21206	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 2:	Loss 3.64782	TrainAcc 0.1158	ValidAcc 0.2339	TestAcc 0.2187
    Epoch 3:	Loss 3.42257	TrainAcc 0.1347	ValidAcc 0.1700	TestAcc 0.2132
    Epoch 4:	Loss 3.07562	TrainAcc 0.1175	ValidAcc 0.1761	TestAcc 0.2413
    Epoch 5:	Loss 2.92541	TrainAcc 0.1823	ValidAcc 0.0785	TestAcc 0.0604
    Epoch 6:	Loss 2.84830	TrainAcc 0.1826	ValidAcc 0.0777	TestAcc 0.0597
    Epoch 7:	Loss 2.66522	TrainAcc 0.2542	ValidAcc 0.1950	TestAcc 0.2123
    Epoch 8:	Loss 2.54052	TrainAcc 0.3116	ValidAcc 0.2800	TestAcc 0.3108
    Epoch 9:	Loss 2.36728	TrainAcc 0.3901	ValidAcc 0.3839	TestAcc 0.3443
    Epoch 10:	Loss 2.18947	TrainAcc 0.4119	ValidAcc 0.4126	TestAcc 0.3890
    Epoch 11:	Loss 2.07134	TrainAcc 0.4296	ValidAcc 0.4783	TestAcc 0.4872
    Epoch 12:	Loss 1.97318	TrainAcc 0.4487	ValidAcc 0.4674	TestAcc 0.4453
    Epoch 13:	Loss 1.85806	TrainAcc 0.5025	ValidAcc 0.5284	TestAcc 0.5161
    Epoch 14:	Loss 1.79837	TrainAcc 0.5010	ValidAcc 0.5237	TestAcc 0.5203
    Epoch 15:	Loss 1.73455	TrainAcc 0.5168	ValidAcc 0.5375	TestAcc 0.5282
    Epoch 16:	Loss 1.68265	TrainAcc 0.5332	ValidAcc 0.5487	TestAcc 0.5305
    Epoch 17:	Loss 1.62686	TrainAcc 0.5477	ValidAcc 0.5653	TestAcc 0.5494
    Epoch 18:	Loss 1.60521	TrainAcc 0.5540	ValidAcc 0.5858	TestAcc 0.5849
    Epoch 19:	Loss 1.55074	TrainAcc 0.5707	ValidAcc 0.5952	TestAcc 0.5953
    Epoch 20:	Loss 1.53330	TrainAcc 0.5759	ValidAcc 0.5949	TestAcc 0.5910
    Epoch 21:	Loss 1.50256	TrainAcc 0.5828	ValidAcc 0.6003	TestAcc 0.5967
    Epoch 22:	Loss 1.47643	TrainAcc 0.5881	ValidAcc 0.6007	TestAcc 0.5969
