The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_arxiv
The number of GCN layers: 3
The number of hidden units: 64
The number of training epoches: 5000
Learning rate: 0.030000
Initialized node g004.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 0.037 seconds.
Building the CSC structure...
        It takes 0.038 seconds.
Building the Feature Vector...
        It takes 0.051 seconds.
Building the Label Vector...
        It takes 0.019 seconds.
Number of classes: 40
Number of feature dimensions: 128
train nodes 90941, valid nodes 29799, test nodes 48603
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 40
    Number of vertices: 169343
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.68977	TrainAcc 0.0289	ValidAcc 0.0204	TestAcc 0.0176
    Epoch 1:	Loss 3.35633	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 2:	Loss 4.02940	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 3:	Loss 3.59755	TrainAcc 0.0769	ValidAcc 0.1496	TestAcc 0.2210
    Epoch 4:	Loss 3.45498	TrainAcc 0.0662	ValidAcc 0.0505	TestAcc 0.0358
    Epoch 5:	Loss 3.46622	TrainAcc 0.0726	ValidAcc 0.0631	TestAcc 0.0475
    Epoch 6:	Loss 3.41876	TrainAcc 0.1276	ValidAcc 0.2404	TestAcc 0.2237
    Epoch 7:	Loss 3.32505	TrainAcc 0.1100	ValidAcc 0.2297	TestAcc 0.2156
    Epoch 8:	Loss 3.29168	TrainAcc 0.1099	ValidAcc 0.2297	TestAcc 0.2156
    Epoch 9:	Loss 3.16155	TrainAcc 0.1099	ValidAcc 0.2297	TestAcc 0.2156
    Epoch 10:	Loss 3.09010	TrainAcc 0.1793	ValidAcc 0.0764	TestAcc 0.0587
    Epoch 11:	Loss 3.05144	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 12:	Loss 2.95175	TrainAcc 0.2306	ValidAcc 0.1850	TestAcc 0.1654
    Epoch 13:	Loss 2.89063	TrainAcc 0.2719	ValidAcc 0.2995	TestAcc 0.2677
