The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_products
The number of GCN layers: 3
The number of hidden units: 16
The number of training epoches: 5000
Learning rate: 0.003000
Initialized node g004.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 1.885 seconds.
Building the CSC structure...
        It takes 1.856 seconds.
Building the Feature Vector...
        It takes 0.570 seconds.
Building the Label Vector...
        It takes 0.310 seconds.
Number of classes: 47
Number of feature dimensions: 100
train nodes 196615, valid nodes 39323, test nodes 2213091
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 47
    Number of vertices: 2449029
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.93974	TrainAcc 0.0010	ValidAcc 0.0015	TestAcc 0.0085
    Epoch 1:	Loss 3.91385	TrainAcc 0.0020	ValidAcc 0.0027	TestAcc 0.0092
    Epoch 2:	Loss 3.88136	TrainAcc 0.0059	ValidAcc 0.0067	TestAcc 0.0121
    Epoch 3:	Loss 3.84625	TrainAcc 0.0162	ValidAcc 0.0160	TestAcc 0.0186
    Epoch 4:	Loss 3.81030	TrainAcc 0.0330	ValidAcc 0.0320	TestAcc 0.0293
    Epoch 5:	Loss 3.77392	TrainAcc 0.0523	ValidAcc 0.0514	TestAcc 0.0420
    Epoch 6:	Loss 3.73687	TrainAcc 0.0669	ValidAcc 0.0670	TestAcc 0.0540
    Epoch 7:	Loss 3.69800	TrainAcc 0.0811	ValidAcc 0.0811	TestAcc 0.0638
    Epoch 8:	Loss 3.65651	TrainAcc 0.0945	ValidAcc 0.0925	TestAcc 0.0727
    Epoch 9:	Loss 3.61196	TrainAcc 0.1048	ValidAcc 0.1055	TestAcc 0.0817
    Epoch 10:	Loss 3.56369	TrainAcc 0.1111	ValidAcc 0.1130	TestAcc 0.0873
    Epoch 11:	Loss 3.51120	TrainAcc 0.1188	ValidAcc 0.1222	TestAcc 0.0931
    Epoch 12:	Loss 3.45426	TrainAcc 0.1252	ValidAcc 0.1273	TestAcc 0.0975
    Epoch 13:	Loss 3.39288	TrainAcc 0.1301	ValidAcc 0.1321	TestAcc 0.1011
    Epoch 14:	Loss 3.32723	TrainAcc 0.1339	ValidAcc 0.1361	TestAcc 0.1045
    Epoch 15:	Loss 3.25766	TrainAcc 0.1382	ValidAcc 0.1407	TestAcc 0.1079
    Epoch 16:	Loss 3.18467	TrainAcc 0.1438	ValidAcc 0.1474	TestAcc 0.1122
    Epoch 17:	Loss 3.10897	TrainAcc 0.1498	ValidAcc 0.1534	TestAcc 0.1167
    Epoch 18:	Loss 3.03135	TrainAcc 0.1565	ValidAcc 0.1594	TestAcc 0.1214
    Epoch 19:	Loss 2.95263	TrainAcc 0.1613	ValidAcc 0.1642	TestAcc 0.1257
    Epoch 20:	Loss 2.87355	TrainAcc 0.1667	ValidAcc 0.1705	TestAcc 0.1308
    Epoch 21:	Loss 2.79467	TrainAcc 0.1779	ValidAcc 0.1809	TestAcc 0.1393
    Epoch 22:	Loss 2.71633	TrainAcc 0.2134	ValidAcc 0.2137	TestAcc 0.1606
    Epoch 23:	Loss 2.63860	TrainAcc 0.2657	ValidAcc 0.2658	TestAcc 0.1945
    Epoch 24:	Loss 2.56128	TrainAcc 0.3308	ValidAcc 0.3328	TestAcc 0.2414
    Epoch 25:	Loss 2.48410	TrainAcc 0.4153	ValidAcc 0.4200	TestAcc 0.3054
    Epoch 26:	Loss 2.40695	TrainAcc 0.5091	ValidAcc 0.5101	TestAcc 0.3731
    Epoch 27:	Loss 2.32987	TrainAcc 0.5626	ValidAcc 0.5644	TestAcc 0.4160
    Epoch 28:	Loss 2.25314	TrainAcc 0.5948	ValidAcc 0.5945	TestAcc 0.4439
    Epoch 29:	Loss 2.17716	TrainAcc 0.6174	ValidAcc 0.6171	TestAcc 0.4628
    Epoch 30:	Loss 2.10250	TrainAcc 0.6308	ValidAcc 0.6294	TestAcc 0.4761
    Epoch 31:	Loss 2.02986	TrainAcc 0.6365	ValidAcc 0.6331	TestAcc 0.4822
    Epoch 32:	Loss 1.96006	TrainAcc 0.6368	ValidAcc 0.6324	TestAcc 0.4844
