The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_arxiv
The number of GCN layers: 3
The number of hidden units: 16
The number of training epoches: -1
Learning rate: 0.003000
Initialized node g003.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 0.077 seconds.
Building the CSC structure...
        It takes 0.039 seconds.
Building the Feature Vector...
        It takes 0.201 seconds.
Building the Label Vector...
        It takes 0.081 seconds.
Number of classes: 40
Number of feature dimensions: 128
train nodes 90941, valid nodes 29799, test nodes 48603
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 40
    Number of vertices: 169343
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.68492	TrainAcc 0.0355	ValidAcc 0.0306	TestAcc 0.0320
    Epoch 1:	Loss 3.67061	TrainAcc 0.0279	ValidAcc 0.0305	TestAcc 0.0362
    Epoch 2:	Loss 3.65333	TrainAcc 0.0275	ValidAcc 0.0199	TestAcc 0.0245
    Epoch 3:	Loss 3.63377	TrainAcc 0.0285	ValidAcc 0.0185	TestAcc 0.0223
    Epoch 4:	Loss 3.61095	TrainAcc 0.0284	ValidAcc 0.0171	TestAcc 0.0202
    Epoch 5:	Loss 3.58320	TrainAcc 0.0296	ValidAcc 0.0181	TestAcc 0.0213
    Epoch 6:	Loss 3.54983	TrainAcc 0.1146	ValidAcc 0.0497	TestAcc 0.0448
    Epoch 7:	Loss 3.51097	TrainAcc 0.1795	ValidAcc 0.0795	TestAcc 0.0621
    Epoch 8:	Loss 3.46709	TrainAcc 0.1799	ValidAcc 0.0783	TestAcc 0.0610
    Epoch 9:	Loss 3.41983	TrainAcc 0.1802	ValidAcc 0.0785	TestAcc 0.0613
    Epoch 10:	Loss 3.37178	TrainAcc 0.1803	ValidAcc 0.0791	TestAcc 0.0618
    Epoch 11:	Loss 3.32569	TrainAcc 0.1800	ValidAcc 0.0781	TestAcc 0.0611
    Epoch 12:	Loss 3.28472	TrainAcc 0.1794	ValidAcc 0.0768	TestAcc 0.0593
    Epoch 13:	Loss 3.25019	TrainAcc 0.1792	ValidAcc 0.0763	TestAcc 0.0587
