The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_products
The number of GCN layers: 3
The number of hidden units: 256
The number of training epoches: 5000
Learning rate: 0.001000
Initialized node g004.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 1.829 seconds.
Building the CSC structure...
        It takes 1.816 seconds.
Building the Feature Vector...
        It takes 0.569 seconds.
Building the Label Vector...
        It takes 0.308 seconds.
Number of classes: 47
Number of feature dimensions: 100
train nodes 196615, valid nodes 39323, test nodes 2213091
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 47
    Number of vertices: 2449029
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.87108	TrainAcc 0.0016	ValidAcc 0.0023	TestAcc 0.0044
    Epoch 1:	Loss 3.69193	TrainAcc 0.1778	ValidAcc 0.1678	TestAcc 0.1254
    Epoch 2:	Loss 3.46530	TrainAcc 0.3468	ValidAcc 0.3543	TestAcc 0.3102
    Epoch 3:	Loss 3.22427	TrainAcc 0.3333	ValidAcc 0.3389	TestAcc 0.2983
    Epoch 4:	Loss 2.98996	TrainAcc 0.3240	ValidAcc 0.3271	TestAcc 0.2864
    Epoch 5:	Loss 2.77441	TrainAcc 0.3232	ValidAcc 0.3255	TestAcc 0.2837
    Epoch 6:	Loss 2.57721	TrainAcc 0.3389	ValidAcc 0.3434	TestAcc 0.2966
    Epoch 7:	Loss 2.38798	TrainAcc 0.3888	ValidAcc 0.3946	TestAcc 0.3306
    Epoch 8:	Loss 2.20324	TrainAcc 0.4483	ValidAcc 0.4517	TestAcc 0.3730
    Epoch 9:	Loss 2.03450	TrainAcc 0.5080	ValidAcc 0.5109	TestAcc 0.4087
    Epoch 10:	Loss 1.89237	TrainAcc 0.5609	ValidAcc 0.5617	TestAcc 0.4398
    Epoch 11:	Loss 1.77494	TrainAcc 0.6215	ValidAcc 0.6181	TestAcc 0.4763
    Epoch 12:	Loss 1.67216	TrainAcc 0.6667	ValidAcc 0.6594	TestAcc 0.5070
    Epoch 13:	Loss 1.57603	TrainAcc 0.6973	ValidAcc 0.6901	TestAcc 0.5302
