The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_products
The number of GCN layers: 2
The number of hidden units: 64
The number of training epoches: -1
Learning rate: 0.003000
Initialized node g003.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 1.884 seconds.
Building the CSC structure...
        It takes 1.854 seconds.
Building the Feature Vector...
        It takes 0.582 seconds.
Building the Label Vector...
        It takes 0.314 seconds.
Number of classes: 47
Number of feature dimensions: 100
train nodes 196615, valid nodes 39323, test nodes 2213091
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 47
    Number of vertices: 2449029
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 4.00595	TrainAcc 0.0137	ValidAcc 0.0152	TestAcc 0.0174
    Epoch 1:	Loss 3.89631	TrainAcc 0.0274	ValidAcc 0.0270	TestAcc 0.0263
    Epoch 2:	Loss 3.75292	TrainAcc 0.0569	ValidAcc 0.0567	TestAcc 0.0464
    Epoch 3:	Loss 3.59116	TrainAcc 0.1387	ValidAcc 0.1297	TestAcc 0.0945
    Epoch 4:	Loss 3.41943	TrainAcc 0.2309	ValidAcc 0.2203	TestAcc 0.1569
    Epoch 5:	Loss 3.24317	TrainAcc 0.3507	ValidAcc 0.3374	TestAcc 0.2330
    Epoch 6:	Loss 3.06616	TrainAcc 0.4694	ValidAcc 0.4484	TestAcc 0.3097
    Epoch 7:	Loss 2.89101	TrainAcc 0.5661	ValidAcc 0.5383	TestAcc 0.3734
    Epoch 8:	Loss 2.71971	TrainAcc 0.6261	ValidAcc 0.6001	TestAcc 0.4219
    Epoch 9:	Loss 2.55401	TrainAcc 0.6600	ValidAcc 0.6388	TestAcc 0.4567
    Epoch 10:	Loss 2.39539	TrainAcc 0.6806	ValidAcc 0.6647	TestAcc 0.4818
    Epoch 11:	Loss 2.24503	TrainAcc 0.6955	ValidAcc 0.6822	TestAcc 0.5006
    Epoch 12:	Loss 2.10378	TrainAcc 0.7074	ValidAcc 0.6969	TestAcc 0.5157
